epoch;accuracy;loss;val_accuracy;val_loss
0;0.7878724336624146;0.46101245284080505;0.769037663936615;0.49402034282684326
1;0.8176668286323547;0.4013969898223877;0.8150627613067627;0.41463372111320496
2;0.8323541879653931;0.37625589966773987;0.8485355377197266;0.3756393790245056
3;0.8495593667030334;0.3484143614768982;0.8552301526069641;0.3278994858264923
4;0.8489299416542053;0.33638831973075867;0.8761506080627441;0.3094550669193268
5;0.8665547370910645;0.31684285402297974;0.8786610960960388;0.2913404107093811
6;0.8671842217445374;0.30353763699531555;0.874476969242096;0.3223001956939697
7;0.873898446559906;0.29392555356025696;0.888702929019928;0.2780919373035431
8;0.8843894004821777;0.2754242420196533;0.8895397782325745;0.28335610032081604
9;0.8858581781387329;0.27239182591438293;0.8828451633453369;0.3030429482460022
